_id,title,lpNumber,aliases,areaName
647034bf9e866c1d68eb586b,Public School 86 (Irvington School),LP-01808,,Public School 86 (Irvington School)
646193cae6fcaf3f17fab094,62nd Police Precinct Station House,LP-01809,,62nd Police Precinct Station House (now 41st Police Precinct Station House)
645bd90ee6fcaf3f17faafbb,Goelet Building,LP-01810,Swiss Center Building,Goelet Building (now Swiss Center Building)
644064504ac6203737fd6e92,Waldorf-Astoria Hotel,LP-01812,,Waldorf-Astoria Hotel
6469b2d79e866c1d68eb5786,Actors Studio,LP-01814,Seventh Associate Presbyterian Church,Actors Studio
646862339e866c1d68eb5722,126 West 18th Street Stable,LP-01815,,128 West 18th Street Stable
646890679e866c1d68eb5740,128 West 18th Street Stable,LP-01816,,
646891549e866c1d68eb5741,130-132 West 18th Street Stables Building,LP-01817,,130-132 West 18th Street Stables Building
646893f79e866c1d68eb5742,136 West 18th Street Stable,LP-01818,,136 West 18th Street Stable
6468600f9e866c1d68eb5721,140 West 18th Street Stable,LP-01819,,140 West 18th Street Stable
64796e32426b0f007933dd09,Public School 72,LP-01836,,Public School 72
645285e13879cf70e53ff091,"New York Public Library, Aguilar Branch",LP-01837,,"New York Public Library, Aguilar Branch"
6451db673879cf70e53ff07e,Fire Hook and Ladder Company No. 14,LP-01838,,Fire Hook and Ladder Company No. 14 (now Fire Engine Company No. 36)
6487eba73ee0be65782261b3,Mount Morris Bank Building,LP-01839,,"Mount Morris Bank Building (later the Corn Exchange Bank, Mount Morris Branch)"
6487ecc23ee0be65782261b4,Wadleigh High School for Girls,LP-01840,,Wadleigh High School for Girls/ (now) Wadleigh School
648bee9c7c55b27c2c708053,Regent Theater (now First Corinthian Baptist Church),LP-01841,First Corinthian Baptist Church,Regent Theater (now First Corinthian Baptist Church)
648cafe17c55b27c2c708059,Washington Apartments,LP-01842,,Washington Apartments
6487e60c3ee0be65782261b1,Hotel Theresa,LP-01843,Theresa Towers,Hotel Theresa (now Theresa Towers)
648bf59a7c55b27c2c708058,St. Paul's German Evangelical Lutheran Church,LP-01844,,"(Former) Saint Paul's German Evangelical Lutheran Church (later 12th Church of Christ, Scientist; now Greater Metropolitan Baptist Church)"
6487ba7c3ee0be65782261ac,12 West 129th Street House,LP-01845,,12 West 129th Street House
648cb1647c55b27c2c70805b,St. Philip's Protestant Episcopal Church,LP-01846,,Saint Philip's Protestant Episcopal Church
648cb2b47c55b27c2c70805c,"Young Men's Christian Association Building, Harlem Branch",LP-01848,,"Young Men's Christian Association Building, Harlem Branch"
648bf3ae7c55b27c2c708056,Mother African Methodist Episcopal Zion Church,LP-01849,,Mother African Methodist Episcopal Zion Church
648bf2da7c55b27c2c708055,Abyssinian Baptist Church & Community House,LP-01851,,Abyssinian Baptist Church and Community House
64496ceee7abb0665474a273,New York Training School for Teachers and New York Model School,LP-01859,,New York Training School for Teachers/New York Model School (later High School of Music and Art)
646250e5e6fcaf3f17fab0c3,Joseph Loth & Company Silk Ribbon Mill,LP-01860,,Joseph Loth & Company Silk Ribbon Mill
648bf21a7c55b27c2c708054,409 Edgecombe Avenue Apartments,LP-01861,,409 Edgecombe Avenue Apartments
645302343879cf70e53ff0a4,Roger Morris Apartments,LP-01862,,555 Edgecombe Avenue Apartments (Roger Morris Apartments)
6451dd523879cf70e53ff080,Fire Engine Company No. 84 and Hook & Ladder Company No. 34,LP-01863,,Fire Engine Company No. 84 and Hook & Ladder Company No. 34
64c30ad654ab1c604a34d30e,"Kreischerville Workers' Houses, 71-73 Kreischer Street",LP-01870,,Kreischerville Workers' Houses
64c30bc454ab1c604a34d310,"Kreischerville Workers' Houses, 75-77 Kreischer Street",LP-01871,,Kreischerville Workers' Houses
64c30c5954ab1c604a34d311,"Kreischerville Workers' Houses, 81-83 Kreischer Street",LP-01872,,Coney Island (Riegelmann) Boardwalk
64c30cc754ab1c604a34d312,"Kreischerville Workers' Houses, 85-87 Kreischer Street",LP-01873,,Kreischerville Workers' Houses
64c3157854ab1c604a34d314,"St. Peter's German Evangelical Church at Kreischerville (now Free Magyar Reformed Church), Parish Hall and Rectory",LP-01875,,Coney Island (Riegelmann) Boardwalk
64c3166354ab1c604a34d315,Westfield Township District School No. 7,LP-01876,,Coney Island (Riegelmann) Boardwalk
6482241fc57c9f5a476e2bfa,Public School 15 (Daniel D. Tompkins School),LP-01877,,Public School 15 (Daniel D. Tompkins School)
643a11034ac6203737fd6e3d,Huntington Free Library,LP-01886,Van Schaick Free Reading Room,Van Schaick Free Reading Room / Huntington Free Library and Reading Room
64b0481654ab1c604a34d077,Anthony Campagna Estate,LP-01887,Yeshiva of the Telshe Alumni School,Anthony Campagna Estate
64a599a7fc95c50bc98dcfa4,"Baird Court, New York Zoological Park",LP-01888,,Rainey Memorial Gates
64a4b838fc95c50bc98dcf9b,Dollar Savings Bank,LP-01889,Emmigrant Savings Bank,Dollar Savings Bank Building (now Emigrant Savings Bank)
643a11e54ac6203737fd6e3e,Loew's Paradise Theater,LP-01891,,Loew's Paradise Theater
64ad7510fc95c50bc98dd026,Messiah Home for Children,LP-01892,,Messiah Home for Children
645ddc33e6fcaf3f17fab014,Public School 27,LP-01895,,Public School 27
644593b9e7abb0665474a218,Brooklyn Trust Company Building,LP-01905,,Brooklyn Trust Company Building
643a12b74ac6203737fd6e3f,Dime Savings Bank,LP-01907,,Coney Island (Riegelmann) Boardwalk
6450c6513879cf70e53ff045,Bowery Savings Bank Building,LP-01912,,Bowery Savings Bank Building
64814139c57c9f5a476e2bc1,Bohemian National Hall,LP-01914,Národní Budova,Bohemian National Hall
64c5f16954ab1c604a34d37c,Trans World Airlines (TWA) Flight Center,LP-01915,,Trans World Airlines Flight Center (now TWA Terminal A) at New York International Airport
645bdae5e6fcaf3f17faafbe,Pepsi-Cola Building,LP-01920,,(Former) Pepsi-Cola Building (now ABN-Amro Bank Building)
6499b1f0d4762e2149e238ca,Adrian and Ann Wyckoff Onderdonk House,LP-01923,Vander Ende-Onderdonk House,Adrian and Ann Wyckoff Onderdonk House
6499af85d4762e2149e238c9,Lewis H. Latimer House,LP-01924,,Lewis H. Latimer House
53668a9b5c95962200089100,Unisphere,LP-01925,Unisphere and Fountain,
56259aabf89701aedbaebcbc,International Mercantile Marine Company Building,LP-01926,,International Mercantile Marine Company Building
648d57567c55b27c2c708075,Bowling Green Offices Building,LP-01927,,Bowling Green Offices Building
646faed69e866c1d68eb5846,Cunard Building,LP-01928,,Cunard Building
6453299c3879cf70e53ff0ad,Standard Oil Building,LP-01930,,Standard Oil Building
64701d929e866c1d68eb5865,Engine Company 252,LP-01931,,"Engine Company No. 252 (originally Engine Company 52, later Engine Company 152)"
6442fb7394494a7b43e48357,American Express Company Building,LP-01932,,American Express Company Building
6453114e3879cf70e53ff0a8,Empire Building,LP-01933,,Empire Buildling
6442fc5694494a7b43e48358,American Surety Company Building,LP-01934,,American Surety Company Building
64405bf84ac6203737fd6e8a,Equitable Building,LP-01935,,Equitable Building
645328863879cf70e53ff0ac,Manhattan Company Building,LP-01936,The Trump Building,Manhattan Company Building
646fabf79e866c1d68eb5844,Bennett Building,LP-01937,,Bennett Building
5614bd96f89701aedbaebc5e,First Reformed Church,LP-01939,,First Reformed Church of Jamaica
646560e06117d262815b1098,La Casina,LP-01940,La Casino | Jamaica Business Resource Center,"La Casina, also known as La Casino"
64700ca19e866c1d68eb5861,City Bank-Farmers Trust Company Building,LP-01941,,City Bank-Farmers Trust Company Building
646ece0c9e866c1d68eb583d,Beaver Building,LP-01942,New York Coca Exchange Building,Beaver Building (later New York Cocoa Exchange Building)
648d559d7c55b27c2c708073,J. & W. Seligman & Company Building,LP-01943,,J. & W. Seligman & Company Building (later Lehman Brothers Building; now Banca Commerciale Italiana Building)
64405b294ac6203737fd6e89,Delmonico's Building,LP-01944,,Delmonico's Building
6447193ce7abb0665474a22c,Union Square Savings Bank,LP-01945,Daryl Roth Theatre,Union Square Savings Bank
645efcf2e6fcaf3f17fab04d,Manhasset Apartments,LP-01947,,Manhasset Apartments
646ed9169e866c1d68eb583e,Potter Building,LP-01948,,Potter Building
